,user_id,follow_count,fans_count,gender,location,level,regis_year,regis_month,regis_day,properties,mileage,car_like,excellent_post_count,all_post_count,label
3967,读书人的事怎么能算偷,2,3,2,14,1,2016,3,3,1,2350.0,382,0,5,False
3968,shawxxp,0,0,2,27,1,2017,9,9,1,2010.0,45,0,0,False
3972,张斯托洛夫斯基,48,39,2,51,1,2015,11,11,1,7320.0,136,0,7,False
3976,艾米拉姆丶,3,3,2,14,1,2014,1,1,1,1490.0,189,0,2,False
3977,lamar7,0,3,2,102,1,2017,10,10,1,2700.0,126,0,13,False
3978,王海胖,0,0,2,5,1,2018,3,3,1,260.0,24,0,0,False
3979,lakily,0,0,2,23,1,2016,10,10,1,860.0,35,0,0,False
3980,青烟绕指间,1,0,2,4,1,2018,5,5,1,870.0,383,0,2,False
3984,71路潘磕,16,16,2,43,1,2014,10,10,1,3860.0,306,0,0,False
3985,夜幕布丁,0,0,2,4,1,2017,8,8,1,2340.0,18,0,0,False
3986,521菲,1,1,1,252,1,2017,3,3,1,900.0,384,0,0,False
3987,jmlf007,0,25,2,4,1,2017,6,6,1,1730.0,94,0,57,False
3988,飞起要吃人,1,0,2,16,1,2017,5,5,1,1850.0,326,0,0,False
3990,xmping03,14,12,2,39,1,2015,4,4,1,1880.0,134,1,17,False
3995,秋名山十八弯,0,0,2,23,1,2018,4,4,1,2430.0,54,0,0,False
3996,13140857,9,9,2,201,1,2016,1,1,1,2650.0,2,0,0,False
3997,神奇赛车手,0,1,2,14,1,2018,3,3,1,620.0,12,0,0,False
4001,楠Ren,0,0,2,62,1,2018,2,2,1,510.0,136,0,0,False
4004,哥活得有模有样,0,1,2,14,1,2015,4,4,1,670.0,321,0,0,False
4005,滴滴滴名字好费脑,1,0,2,57,1,2017,5,5,1,6120.0,72,0,0,False
4009,轻车熟路爱丰田,1,0,2,4,1,2017,12,12,1,490.0,40,0,0,False
4010,蜗牛868,7,20,2,20,1,2017,2,2,1,620.0,19,0,89,False
4014,忆翠万妙柏,14,10,2,51,1,2017,12,12,1,2780.0,136,0,12,False
4015,金城驸马,12,3,2,183,1,2015,5,5,1,1370.0,385,0,2,False
4016,zhuxiaofan523,1,6,2,5,1,2015,3,3,1,3740.0,42,0,2,False
4019,Mark保罗,1,0,2,15,1,2017,6,6,1,690.0,45,0,0,False
4021,xchzy1987,0,15,2,32,1,2015,6,6,1,1520.0,18,0,8,False
4022,非凡之恋2014,9,8,2,32,1,2013,9,9,1,2130.0,143,0,6,False
4028,诸恶退散,24,21,2,56,1,2015,2,2,1,610.0,45,0,24,False
4032,束缚1314,8,4,2,19,1,2015,10,10,1,2610.0,81,0,4,False
4034,LoveInstantly,2,6,2,24,1,2016,2,2,1,2460.0,81,0,2,False
4035,dazhigql,11,6,2,155,1,2014,6,6,1,2580.0,125,0,2,False
4036,闽c40110,0,0,2,100,1,2017,7,7,1,550.0,52,0,0,False
4038,stuttgartGT,8,8,2,5,1,2016,3,3,1,2100.0,80,0,0,False
4040,Waycor,9,5,2,4,1,2017,1,1,1,1010.0,202,0,13,False
4041,yy88520,11,2,2,5,2,2015,4,4,1,11980.0,18,0,3,False
4045,htw15805269111,4,3,2,5,1,2017,3,3,1,2330.0,236,0,0,False
4048,十万个阿斗,1,1,2,150,1,2017,1,1,1,4270.0,386,0,1,False
4049,深藏名与车,14,9,2,32,1,2015,5,5,1,7040.0,387,0,1,False
4051,淡定周,20,15,2,21,1,2015,2,2,1,2140.0,18,0,6,False
4052,用旅行赞美生命,5,4,2,63,1,2014,12,12,1,7980.0,81,0,0,False
4053,正义骑士君,0,0,2,38,1,2016,2,2,1,580.0,11,0,0,False
4054,狂热suv爱好者,2,23,2,54,2,2015,9,9,1,8090.0,136,0,22,False
4056,T涛,0,5,2,118,1,2012,4,4,1,1050.0,42,0,4,False
4057,syw15946665452,0,0,2,253,1,2017,8,8,1,1550.0,45,0,0,False
4059,CoulsonLi,1,1,2,14,1,2017,2,2,1,1480.0,50,0,2,False
4061,用户名已注销了吗,12,25,2,163,1,2015,9,9,1,4550.0,43,0,9,False
4066,金陵岂非池中物,1,4,2,5,1,2015,4,4,1,700.0,168,0,0,False
4067,wananlsn,1,1,2,252,1,2017,10,10,1,2170.0,45,0,1,False
4075,看见平凡,21,26,2,13,1,2014,9,9,1,1490.0,59,0,9,False
4076,寒炎寒先森,1,0,2,5,1,2017,1,1,1,620.0,1,0,0,False
4077,安生153,0,0,2,39,1,2017,9,9,1,1030.0,53,0,0,False
4079,秋名山小货车,1,0,2,12,1,2017,5,5,1,1510.0,240,0,1,False
4081,呜啊呜5,1,1,2,20,1,2017,12,12,1,220.0,69,0,0,False
4085,子涵960314,7,11,2,228,1,2016,5,5,1,5600.0,42,0,1,False
4087,祖哥爸爸,71,53,2,39,1,2016,5,5,1,1820.0,388,0,13,False
4090,儿时的梦想啊,12,1,2,121,2,2017,11,11,1,12210.0,389,0,0,False
4091,CalzerBlanks,1,9,2,3,1,2014,7,7,1,2210.0,127,0,3,False
4092,后山人1983,187,153,2,5,4,2011,8,8,5,45500.0,47,3,30,False
4093,何飞飞11,0,1,2,9,1,2016,6,6,1,720.0,87,0,0,False
4097,丶半度微笑丨,6,8,2,20,1,2015,3,3,1,4770.0,216,0,6,False
4101,1186173496,3,2,2,5,1,2013,8,8,1,810.0,61,0,0,False
4102,麦希穆斯tbg,6,10,2,20,1,2017,12,12,2,1730.0,42,0,1,False
4105,湖北小库,84,98,2,65,1,2014,2,2,1,2280.0,18,0,13,False
4111,wangxi880324,1,4,2,4,1,2014,12,12,1,1010.0,1,0,1,False
4112,天津何,0,0,2,19,1,2018,5,5,1,130.0,33,0,0,False
4113,支点1227,1,2,2,26,1,2017,12,12,1,210.0,33,0,1,False
4115,初学乍,0,0,2,238,1,2017,7,7,1,550.0,52,0,1,False
4116,快乐男孩804,0,2,2,133,1,2015,5,5,1,5970.0,19,0,7,False
4119,1993zou,5,19,2,4,2,2013,11,11,1,9510.0,390,0,1,False
4121,锋范贸易,0,0,2,15,1,2017,9,9,1,1080.0,56,0,0,False
4127,carlover121,0,3,2,106,1,2016,4,4,1,3250.0,331,0,0,False
4128,す影,7,1,2,254,1,2015,1,1,1,3040.0,25,0,0,False
4129,NEVER啊,0,0,2,19,1,2018,4,4,1,680.0,180,0,0,False
